Артикул продавца,product_id,Артикул МП,Категория,МП,Юр лицо,date,Дата,Заказы шт,Средний чек 1 заказ (РУБ),Себестоимость 1 шт (РУБ),Себестоимость Тотал (РУБ),Комиссия МП  (РУБ),Хранение МП (РУБ),Логистика МП,Фуллфилмент БЕТА-ПРО (тотал),% выкупа,Рекламные расходы (РУБ),ДРР %,Эквайринг (РУБ),СТОК (ШТ),ПЛАН заказов шт в день,ПЛАН заказов оборот в день,% выполнения ПЛАНа в шт,% выполнения ПЛАНа в руб.,Оборачиваемость (Дни),Тотал заказы (РУБ),Коммерческая маржа (РУБ),Коммерческая маржа %,Cредние продажи в день - за неделю,Клики общие (воронка продаж),Просмотры (реклама),Клики (реклама),"CTR, % (реклама)",Добавления в корзину (реклама),Добавления в корзину (воронка продаж),"CR в корзину, % (формула)","CR в заказ, % (формула)","CR из клика в заказ, % (формула)",Команда
h-gfc1-3,H-GFC1-3,201356035,Контейнеры,Wildberries,АТ,,01.10.2024,5,1800,805.96,0,1755,229.994424,1094.208228,400,0.80,0.09,0.0000,64.95,0,85,161415,0.0006,0.0006,0,9000,5455.757348,0.6061952609,3,310,2,0,0.0000,0,26,0.0839,0.1923,0.0161,М+Н
tm2-1bk,TM2-1BK,235897250,Зеркала косметические,Wildberries,АТ,,01.10.2024,3,2880,1349.87,0,1944,200.1642082,682.5249367,240,1.00,0,0.0000,63.665,366,6,16098,0.0050,0.0054,366,8640,5509.645855,0.6376904925,1,204,0,0,0.0000,0,15,0.0735,0.2000,0.0147,М+Н
fp1-1,FP1-1,261789151,Сковороды,Wildberries,АТ,,01.10.2024,1,3000,1841.65,0,585,860.8677931,260.8416456,80,1.00,1142.458333,0.3808,21.22166667,1305,2,6062,0.0050,0.0049,1305,3000,49.61056136,0.01653685379,1,89,2609,47,0.0864,1,3,0.0337,0.3333,0.0112,Д+В
tm1-1wt,TM1-1WT,201357762,Зеркала косметические,Wildberries,АТ,,01.10.2024,5,3360,1250.19,0,3780,81.5010336,1104.208228,400,1.00,0,0.0000,144.575,0,6,21540,0.0083,0.0078,0,16800,11289.71574,0.6720068892,9,501,0,0,0.0000,0,43,0.0858,0.1163,0.0100,М+Н
tm1-2wt,TM1-2WT,235896954,Зеркала косметические,Wildberries,АТ,,01.10.2024,5,4320,1842.26,0,4860,73.45249065,1094.208228,400,0.80,0,0.0000,170.55,0,4,14980,0.0125,0.0144,0,21600,15001.78928,0.6945272816,4,392,0,0,0.0000,0,29,0.0740,0.1724,0.0128,М+Н
pt2-1rd,PT2-1RD,201440823,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1634.9,0,0,67.708305,0,0,0.00,0.02,0.0000,0,0,54,180954,0.0000,0.0000,0,0,-67.728305,0,0,53,1,0,0.0000,0,4,0.0755,0.0000,0.0000,Д+В
h-gfc1-1,H-GFC1-1,201356034,Контейнеры,Wildberries,АТ,,01.10.2024,35,1400.022286,653.16,0,9555.1521,178.6698,7427.957595,2800,0.97,0.33,0.0000,523.45,0,113,177636,0.0031,0.0028,0,49000.78,28515.22051,0.5819340122,17,692,6,0,0.0000,0,128,0.1850,0.2734,0.0506,М+Н
b-mcm1-1,B-MCM1-1,215321575,Прочее,Wildberries,АТ,,01.10.2024,0,0,744.74,0,0,21.0161952,0,0,0.00,0,0.0000,0,74,1,1162,0.0000,0.0000,0,0,-21.0161952,0,0,4,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pt2-3gn,PT2-3GN,201440826,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1503.02,0,0,86.148315,0,0,0.00,0,0.0000,0,0,51,175134,0.0000,0.0000,0,0,-86.148315,0,0,58,0,0,0.0000,0,4,0.0690,0.0000,0.0000,Д+В
at-001w,AT-001W,,Прочее,Wildberries,АТ,,01.10.2024,0,0,355.8,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002g,AT-002G,,Прочее,Wildberries,АТ,,01.10.2024,0,0,542.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002be,AT-002BE,,Прочее,Wildberries,АТ,,01.10.2024,0,0,0,0,0,0,0,0,0.00,0,0.0000,0,0,1,988,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002bk,AT-002BK,,#N/A,Wildberries,АТ,,01.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,1,935,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
ldm1-1,LDM1-1,,#N/A,Wildberries,АТ,,01.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
pt1-1,PT1-1,201440828,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1347.52,0,0,0,0,0,0.00,0,0.0000,0,0,377,1095562,0.0000,0.0000,0,0,0,0,0,3,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-2,PT1-2,201440827,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,2096.16,0,0,0,0,0,0.00,0,0.0000,0,6,357,1595790,0.0000,0.0000,0,0,0,0,0,3,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-3,PT1-3,201440830,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,2172.26,0,0,0,0,0,0.00,0,0.0000,0,0,125,560375,0.0000,0.0000,0,0,0,0,0,5,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-4,PT1-4,201440822,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1494.37,0,0,0,0,0,0.00,0,0.0000,0,0,214,688866,0.0000,0.0000,0,0,0,0,0,17,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-5,PT1-5,201440824,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,2076.05,0,0,0,0,0,0.00,0,0.0000,0,1,148,709660,0.0000,0.0000,1,0,0,0,2,17,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-6,PT1-6,201440829,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1852.07,0,0,0,0,0,0.00,0,0.0000,0,0,127,505079,0.0000,0.0000,0,0,0,0,0,10,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-7,PT1-7,201440825,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1064.25,0,0,0,0,0,0.00,0,0.0000,0,0,85,187255,0.0000,0.0000,0,0,0,0,0,4,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt2-2gr,PT2-2GR,201440831,Кастрюли,Wildberries,АТ,,01.10.2024,0,0,1527.91,0,0,0,0,0,0.00,0,0.0000,0,0,94,326650,0.0000,0.0000,0,0,0,0,0,8,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1br,SHC1-1BR,,Прочее,Wildberries,АТ,,01.10.2024,0,0,683.74,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1gr,SHC1-1GR,,Прочее,Wildberries,АТ,,01.10.2024,0,0,670.61,0,0,0,0,0,0.00,0,0.0000,0,0,3,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1bk,SHC1-1BK,,Прочее,Wildberries,АТ,,01.10.2024,0,0,661.58,0,0,0,0,0,0.00,0,0.0000,0,0,1,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1w,HNG1-1W,,#N/A,Wildberries,АТ,,01.10.2024,0,0,889.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1bk,HNG1-1BK,,Прочее,Wildberries,АТ,,01.10.2024,0,0,850.66,0,0,0,0,0,0.00,0,0.0000,0,0,1,1630,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1gr,CPT1-1GR,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,652.64,0,0,0,0,0,0.00,0,0.0000,0,0,15,26775,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
cpt1-1be,CPT1-1BE,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,654.44,0,0,0,0,0,0.00,0,0.0000,0,0,15,25785,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
hl1-1,HL1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,495.21,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tvb1-1,TVB1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,362.52,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1wt,PHA1-1WT,,Прочее,Wildberries,АТ,,01.10.2024,0,0,716.88,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1bk,PHA1-1BK,,#N/A,Wildberries,АТ,,01.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1pk,PHA1-1PK,,Прочее,Wildberries,АТ,,01.10.2024,0,0,608.9,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1gr,PHA1-1GR,,Прочее,Wildberries,АТ,,01.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1rd,PHA1-1RD,,Прочее,Wildberries,АТ,,01.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-1,H-ORG1-1,201443339,Контейнеры,Wildberries,АТ,,01.10.2024,0,0,581.49,0,0,0,0,0,0.00,0,0.0000,0,0,13,16159,0.0000,0.0000,0,0,0,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-2,H-ORG1-2,201443340,Контейнеры,Wildberries,АТ,,01.10.2024,0,0,468.65,0,0,0,0,0,0.00,0,0.0000,0,0,3,2397,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-3,H-ORG1-3,,Контейнеры,Wildberries,АТ,,01.10.2024,0,0,787.28,0,0,0,0,0,0.00,0,0.0000,0,0,2,3452,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-ebr-1-1,K-EBR-1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,403.01,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-drs1-1,B-DRS1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,599.76,0,0,0,0,0,0.00,0,0.0000,0,0,1,300,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tvb1-2,TVB1-2,,Прочее,Wildberries,АТ,,01.10.2024,0,0,701.59,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-pmc1-1,K-PMC1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,552.53,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-lb1-1gr,H-LB1-1GR,,Корзины для белья,Wildberries,АТ,,01.10.2024,0,0,543.77,0,0,0,0,0,0.00,0,0.0000,0,0,17,25262,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-lb1-1wt,H-LB1-1WT,,Корзины для белья,Wildberries,АТ,,01.10.2024,0,0,540.01,0,0,0,0,0,0.00,0,0.0000,0,0,25,34850,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-led-1-1-15,H-LED-1-1-15,,Прочее,Wildberries,АТ,,01.10.2024,0,0,829.76,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-led-1-1-20,H-LED-1-1-20,,Прочее,Wildberries,АТ,,01.10.2024,0,0,1021.25,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-sj1-1,H-SJ1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,789.78,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-1wt,H-TC1-1WT,201441857,Мусорные ведра,Wildberries,АТ,,01.10.2024,0,0,557.56,0,0,0,0,0,0.00,0,0.0000,0,0,9,11268,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
dydb1-1,DYDB1-1,,Шуруповерты,Wildberries,АТ,,01.10.2024,0,0,1912.69,0,0,0,0,0,0.00,0,0.0000,0,0,10,35360,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
dywr1-1,DYWR1-1,,Гайковерты,Wildberries,АТ,,01.10.2024,0,0,3032.58,0,0,0,0,0,0.00,0,0.0000,0,0,13,76778,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
dygr1-1,DYGR1-1,,Шлифовальные машины,Wildberries,АТ,,01.10.2024,0,0,3417.01,0,0,0,0,0,0.00,0,0.0000,0,0,4,22628,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-cpt2-1ca,H-CPT2-1CA,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,364.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-cpt2-1be,H-CPT2-1BE,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,354.49,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-mop 1-1,H-MOP1-1,201443962,Швабры,Wildberries,АТ,,01.10.2024,0,0,372.61,0,0,0,0,0,0.00,0,0.0000,0,0,3,2877,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-fcm1-1wt,B-FCM1-1WT,,Прочее,Wildberries,АТ,,01.10.2024,0,0,464.03,0,0,0,0,0,0.00,0,0.0000,0,0,3,6000,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
b-fcm1-1bk,B-FCM1-1BK,,Прочее,Wildberries,АТ,,01.10.2024,0,0,459.89,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-dsp1-1,H-DSP1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,1326.92,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
b-mg1-1,B-MG1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,2153.4,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1-1mgr,CPT1-1-1MGR,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,651.12,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,#N/A
cpt1-1mbe,CPT1-1MBE,,Коврики для ванной,Wildberries,АТ,,01.10.2024,0,0,655.35,0,0,0,0,0,0.00,0,0.0000,0,0,15,23595,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-bowl1-2,H-BOWL1-2,,Миски,Wildberries,АТ,,01.10.2024,0,0,628.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-bowl1-2c,H-BOWL1-2C,,Миски,Wildberries,АТ,,01.10.2024,0,0,737.84,0,0,0,0,0,0.00,0,0.0000,0,0,13,19162,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-gfc 2-1,H-GFC2-1,216854130,Контейнеры,Wildberries,АТ,,01.10.2024,12,990.0083333,533.84,0,2316.6195,153.718416,2580.099747,960,1.00,0,0.0000,104.8690909,1,22,24244,0.0055,0.0049,0,11880.1,5764.793246,0.4852478722,7,369,0,0,0.0000,0,42,0.1138,0.2857,0.0325,М+Н
drl2-1,DRL2-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,1322.8,0,0,0,0,0,0.00,0,0.0000,0,0,1,2263,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
drl3-1,DRL3-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,634.37,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
gr1-2,GR1-2,,Прочее,Wildberries,АТ,,01.10.2024,0,0,2387.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
wr1-2,WR1-2,,Прочее,Wildberries,АТ,,01.10.2024,0,0,2034.42,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
chs1-1,CHS1-1,,Прочее,Wildberries,АТ,,01.10.2024,0,0,1643.55,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-tc1-2wt,H-TC1-2WT,,Мусорные ведра,Wildberries,АТ,,01.10.2024,0,0,488.51,0,0,0,0,0,0.00,0,0.0000,0,0,11,14289,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-3wt,H-TC1-3WT,,Мусорные ведра,Wildberries,АТ,,01.10.2024,0,0,478.38,0,0,0,0,0,0.00,0,0.0000,0,0,2,2410,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-4wt,H-TC1-4WT,,Мусорные ведра,Wildberries,АТ,,01.10.2024,0,0,713.09,0,0,0,0,0,0.00,0,0.0000,0,0,17,27489,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-5wt,H-TC1-5WT,,Мусорные ведра,Wildberries,АТ,,01.10.2024,0,0,765.44,0,0,0,0,0,0.00,0,0.0000,0,0,15,21165,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
shc1-2,SHC1-2,,#N/A,Wildberries,АТ,,01.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003bk,AT-003BK,,Прочее,Wildberries,АТ,,01.10.2024,0,0,980.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003w,AT-003W,,Прочее,Wildberries,АТ,,01.10.2024,0,0,981.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
fp1-3,FP1-3,,Сковороды,Wildberries,КРАВЧИК,,01.10.2024,0,0,2945.71,0,0,0,0,0,0.00,0,0.0000,0,0,34,185878,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tm2-2bk,TM2-2BK,,Зеркала косметические,Wildberries,КРАВЧИК,,01.10.2024,0,0,1349.87,0,0,0,0,0,0.00,0,0.0000,0,0,1,2570,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tm1-1bk,TM1-1BK,,Зеркала косметические,Wildberries,КРАВЧИК,,01.10.2024,0,0,1247.31,0,0,0,0,0,0.00,0,0.0000,0,0,22,67166,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tm1-2bk,TM1-2BK,,Зеркала косметические,Wildberries,КРАВЧИК,,01.10.2024,0,0,1843.4,0,0,0,0,0,0.00,0,0.0000,0,0,19,72523,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
fp1-2,FP1-2,,Сковороды,Wildberries,КРАВЧИК,,01.10.2024,0,0,2195.29,0,0,0,0,0,0.00,0,0.0000,0,0,13,50739,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tm2-1wt,TM2-1WT,,Зеркала косметические,Wildberries,КРАВЧИК,,01.10.2024,0,0,1349.87,0,0,0,0,0,0.00,0,0.0000,0,0,13,34125,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
drl5-1,DRL5-1,,Прочее,Wildberries,КРАВЧИК,,01.10.2024,0,0,1740.51,0,0,0,0,0,0.00,0,0.0000,0,0,3,8109,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
